Study,Trait_reported,Lead_variant,Molecular_trait,Gene_symbol,Tissue,Source,H3,H4,log2(H4/H3),Title,Author,Has_sumstats,numAssocLoci,nInitial cohort,study_nReplication,study_nCases,Publication_date,Journal,Pubmed_id,max_H4,min_H4
GCST90038683,Inflammatory bowel disease,11_76570549_C_T,EMSY,ENSG00000158636,Skin sun exposed lower leg,GTEx-sQTL,0.77,0.13,-2.61,Common genetic associations between age-related diseases.,Donertas HM,TRUE,19,484598,NA,4101,2021-04-08,Nat Aging,PMID:33959723,0.13,0.08
GCST004131,Inflammatory bowel disease,2_241545286_C_T,D2HGDH,ENSG00000180902,Neutrophil,Naranbhai_2015,0.26,0.14,-0.85,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.14,0.13
GCST004131,Inflammatory bowel disease,2_241545286_C_T,D2HGDH,ENSG00000180902,Brain nucleus accumbens basal ganglia,GTEx-sQTL,0.71,0.13,-2.46,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.14,0.13
GCST004132,Crohn's disease,2_27508073_T_C,RBKS,ENSG00000171174,Kidney cortex,GTEx-sQTL,0.07,0.15,1.19,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.15,0.15
GCST004131,Inflammatory bowel disease,16_23844532_A_C,DCTN5,ENSG00000166847,Adrenal gland,GTEx-sQTL,0.18,0.15,-0.24,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.15,0.15
GCST004132,Crohn's disease,1_155349877_C_T,LMNA,ENSG00000160789,Testis,GTEx-sQTL,0.29,0.18,-0.66,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.18,0.1
GCST004131,Inflammatory bowel disease,1_155199058_C_T,LMNA,ENSG00000160789,Testis,GTEx-sQTL,0.3,0.1,-1.62,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.18,0.1
GCST004131,Inflammatory bowel disease,7_99171402_G_T,AP4M1,ENSG00000221838,Vagina,GTEx-sQTL,0.08,0.15,0.89,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.2,0.15
GCST004132,Crohn's disease,10_110425838_G_A,XPNPEP1,ENSG00000108039,Brain cerebellar hemisphere,GTEx-sQTL,0.19,0.2,0.08,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.2,0.2
GCST004131,Inflammatory bowel disease,10_110426390_C_T,XPNPEP1,ENSG00000108039,Brain cerebellar hemisphere,GTEx-sQTL,0.19,0.2,0.04,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.2,0.2
GCST004131,Inflammatory bowel disease,7_99171402_G_T,AP4M1,ENSG00000221838,Adipose subcutaneous,GTEx-sQTL,0.25,0.2,-0.34,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.2,0.15
GCST003043,Inflammatory bowel disease [EA],1_155212052_G_T,ZBTB7B,ENSG00000160685,Adipose visceral omentum,GTEx-sQTL,0.03,0.17,2.4,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.22,0.01
GCST004132,Crohn's disease,1_155349877_C_T,ZBTB7B,ENSG00000160685,Adipose visceral omentum,GTEx-sQTL,0.09,0.17,0.97,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.22,0.01
GCST004132,Crohn's disease,1_155349877_C_T,ZBTB7B,ENSG00000160685,fibroblast,GTEx-eQTL,0.18,0.22,0.35,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.22,0.01
GCST004131,Inflammatory bowel disease,1_155199058_C_T,ZBTB7B,ENSG00000160685,Adipose visceral omentum,GTEx-sQTL,0.12,0.13,0.16,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.22,0.01
GCST004132,Crohn's disease,1_155349877_C_T,ZBTB7B,ENSG00000160685,Whole blood,GTEx-sQTL,0.06,0.05,-0.38,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.22,0.01
GCST004131,Inflammatory bowel disease,1_155199058_C_T,ZBTB7B,ENSG00000160685,Esophagus gastroesophageal junction,GTEx-sQTL,0.33,0.14,-1.26,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.22,0.01
GCST004131,Inflammatory bowel disease,1_155199058_C_T,ZBTB7B,ENSG00000160685,Blood,eQTLGen,0.17,0.04,-2.21,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.22,0.01
GCST004132,Crohn's disease,1_155349877_C_T,ZBTB7B,ENSG00000160685,Blood,eQTLGen,0.17,0.01,-3.77,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.22,0.01
GCST004132,Crohn's disease,2_24938367_A_G,NCOA1,ENSG00000084676,Brain amygdala,GTEx-sQTL,0.1,0.2,1,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.28,0.09
GCST004131,Inflammatory bowel disease,2_24972708_T_C,NCOA1,ENSG00000084676,Brain amygdala,GTEx-sQTL,0.1,0.18,0.76,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.28,0.09
GCST004131,Inflammatory bowel disease,21_33404389_A_G,DNAJC28,ENSG00000177692,brain (substantia nigra),GTEx-eQTL,0.2,0.28,0.49,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.28,0.28
GCST004131,Inflammatory bowel disease,2_24972708_T_C,NCOA1,ENSG00000084676,Brain (DLPFC),ROSMAP,0.31,0.28,-0.15,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.28,0.09
GCST004131,Inflammatory bowel disease,2_24972708_T_C,NCOA1,ENSG00000084676,Brain anterior cingulate cortex ba24,GTEx-sQTL,0.1,0.09,-0.25,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.28,0.09
GCST004131,Inflammatory bowel disease,2_24972708_T_C,NCOA1,ENSG00000084676,Uterus,GTEx-sQTL,0.22,0.15,-0.6,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.28,0.09
GCST004131,Inflammatory bowel disease,2_24972708_T_C,NCOA1,ENSG00000084676,artery (aorta),GTEx-eQTL,0.57,0.14,-1.99,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.28,0.09
GCST004132,Crohn's disease,2_27508073_T_C,GTF3C2,ENSG00000115207,Brain cerebellar hemisphere,GTEx-sQTL,0.09,0.2,1.12,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.29,0.09
GCST004132,Crohn's disease,2_27508073_T_C,GTF3C2,ENSG00000115207,Prostate,GTEx-sQTL,0.1,0.09,-0.23,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.29,0.09
GCST004132,Crohn's disease,2_27508073_T_C,GTF3C2,ENSG00000115207,Cells ebv-transformed lymphocytes,GTEx-sQTL,0.37,0.29,-0.33,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.29,0.09
GCST004131,Inflammatory bowel disease,22_39305698_G_A,CSNK1E,ENSG00000213923,Artery aorta,GTEx-sQTL,0.1,0.32,1.68,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.32,0.11
GCST004133,Ulcerative colitis,22_39266475_T_C,CSNK1E,ENSG00000213923,Artery aorta,GTEx-sQTL,0.12,0.17,0.48,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.32,0.11
GCST004131,Inflammatory bowel disease,22_39263768_C_T,CSNK1E,ENSG00000213923,Heart left ventricle,GTEx-sQTL,0.09,0.12,0.39,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.32,0.11
GCST004133,Ulcerative colitis,22_39266475_T_C,CSNK1E,ENSG00000213923,Heart left ventricle,GTEx-sQTL,0.1,0.11,0.24,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.32,0.11
GCST004131,Inflammatory bowel disease,22_39263768_C_T,CSNK1E,ENSG00000213923,Artery aorta,GTEx-sQTL,0.12,0.12,-0.02,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.32,0.11
GCST003045,Ulcerative colitis [EA],19_54868759_A_G,TMEM190,ENSG00000160472,Lung,GTEx-sQTL,0.01,0.4,4.77,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,110,27432,45215,6968,2015-07-20,Nat Genet,PMID:26192919,0.4,0.4
GCST004132,Crohn's disease,22_39264824_T_C,TAB1,ENSG00000100324,Brain hippocampus,GTEx-sQTL,0.14,0.36,1.38,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39305698_G_A,TAB1,ENSG00000100324,Adipose,TwinsUK,0.16,0.4,1.29,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39305698_G_A,TAB1,ENSG00000100324,Th17 cell,Schmiedel_2018,0.15,0.36,1.26,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39263768_C_T,TAB1,ENSG00000100324,Brain hippocampus,GTEx-sQTL,0.14,0.33,1.19,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004132,Crohn's disease,22_39264824_T_C,TAB1,ENSG00000100324,Brain nucleus accumbens basal ganglia,GTEx-sQTL,0.15,0.31,1.1,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39263768_C_T,TAB1,ENSG00000100324,Brain nucleus accumbens basal ganglia,GTEx-sQTL,0.15,0.28,0.91,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Brain hippocampus,GTEx-sQTL,0.16,0.27,0.77,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39263768_C_T,TAB1,ENSG00000100324,Brain cerebellar hemisphere,GTEx-sQTL,0.16,0.26,0.69,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Brain nucleus accumbens basal ganglia,GTEx-sQTL,0.16,0.23,0.51,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004132,Crohn's disease,22_39264824_T_C,TAB1,ENSG00000100324,Adrenal gland,GTEx-sQTL,0.18,0.25,0.5,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Brain cerebellar hemisphere,GTEx-sQTL,0.17,0.23,0.41,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39263768_C_T,TAB1,ENSG00000100324,Adrenal gland,GTEx-sQTL,0.19,0.22,0.26,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39305698_G_A,TAB1,ENSG00000100324,Brain hypothalamus,GTEx-sQTL,0.14,0.17,0.24,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004132,Crohn's disease,22_39264824_T_C,TAB1,ENSG00000100324,Brain cerebellar hemisphere,GTEx-sQTL,0.18,0.2,0.17,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39263768_C_T,TAB1,ENSG00000100324,Brain spinal cord cervical c-1,GTEx-sQTL,0.31,0.32,0.06,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Adrenal gland,GTEx-sQTL,0.2,0.18,-0.12,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Adipose,TwinsUK,0.22,0.2,-0.16,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004132,Crohn's disease,22_39264824_T_C,TAB1,ENSG00000100324,Brain caudate basal ganglia,GTEx-sQTL,0.28,0.25,-0.18,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Th17 cell,Schmiedel_2018,0.19,0.17,-0.21,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Transverse colon,CEDAR,0.17,0.14,-0.25,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39263768_C_T,TAB1,ENSG00000100324,Brain caudate basal ganglia,GTEx-sQTL,0.29,0.24,-0.26,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Brain spinal cord cervical c-1,GTEx-sQTL,0.33,0.28,-0.27,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Brain caudate basal ganglia,GTEx-sQTL,0.3,0.22,-0.42,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004132,Crohn's disease,22_39264824_T_C,TAB1,ENSG00000100324,Brain spinal cord cervical c-1,GTEx-sQTL,0.35,0.25,-0.48,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39305698_G_A,TAB1,ENSG00000100324,Brain cerebellum,GTEx-sQTL,0.55,0.36,-0.59,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Colon transverse,GTEx-sQTL,0.37,0.24,-0.64,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Brain hypothalamus,GTEx-sQTL,0.15,0.1,-0.66,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004132,Crohn's disease,22_39264824_T_C,TAB1,ENSG00000100324,Brain anterior cingulate cortex ba24,GTEx-sQTL,0.51,0.31,-0.71,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39263768_C_T,TAB1,ENSG00000100324,Brain anterior cingulate cortex ba24,GTEx-sQTL,0.53,0.28,-0.92,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Brain anterior cingulate cortex ba24,GTEx-sQTL,0.56,0.25,-1.16,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Brain cerebellum,GTEx-sQTL,0.72,0.17,-2.12,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004131,Inflammatory bowel disease,22_39305698_G_A,TAB1,ENSG00000100324,Th1 cell,Schmiedel_2018,0.71,0.12,-2.51,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
GCST004133,Ulcerative colitis,22_39266475_T_C,TAB1,ENSG00000100324,Th1 cell,Schmiedel_2018,0.76,0.06,-3.72,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,66,45975,NA,12366,2017-01-09,Nat Genet,PMID:28067908,0.4,0.06
